target,1rank,2rank,3rank,4rank,5rank
717,238,1998,1289,1696,2592
2659,2659,2711,2442,1533,884
459,459,561,2122,1736,1568
461,461,1125,1248,1349,2377
2289,2289,1732,1594,788,1640
173,173,1621,1317,805,1543
172,172,787,974,2447,1516
167,1996,1809,213,2721,1353
165,298,1821,2703,1328,165
2646,2646,902,1639,617,1619
901,901,258,219,405,1011
891,891,828,1074,1709,1982
159,159,2293,620,435,1820
1733,1342,2207,489,1480,1648
833,833,1954,1580,2545,749
149,337,149,2182,539,1638
1388,1388,1777,876,259,2372
1384,1384,1127,593,651,2022
1156,934,441,1670,837,2178
1028,1028,988,1446,1213,1948
2135,2135,2557,594,2189,985
1968,2119,1968,2641,1637,913
1088,1088,1581,1693,254,978
2137,2137,316,1870,497,1892
364,2083,28,2354,1902,1614
468,468,618,2015,2197,49
2635,2086,2635,847,2218,2369
1854,1854,1971,1019,1914,2237
689,689,2644,2545,1415,2095
2278,2278,831,1569,1618,2657
348,348,2551,2365,2699,836
10,10,613,610,552,2213
671,671,682,1937,1227,163
2410,2410,1585,1340,2100,2286
2041,2041,820,738,733,1642
609,609,1077,2297,893,2541
1488,1488,2478,534,823,2421
52,52,1931,233,2460,2571
2096,2096,181,153,2194,1901
1338,1338,2042,2541,347,1864
887,887,286,367,395,1263
393,393,2085,2047,2682,2241
2533,2533,901,813,1172,607
2311,2311,903,2660,1452,435
994,994,417,2347,1830,558
2075,2075,1840,781,737,709
2083,2083,28,2354,1902,1614
392,392,1698,2686,1569,15
2486,515,2486,12,935,247
382,382,2360,1204,148,292
702,2629,530,1690,2506,702
1460,1460,1327,908,2714,659
791,791,1867,612,1997,1071
1439,1439,1201,472,409,1605
1459,1459,864,1841,1786,1738
1939,2575,1939,561,1736,2480
2506,2629,530,1690,2506,702
1396,492,1321,2144,1915,2584
1382,1382,1877,2713,2608,1806
1014,1634,1014,920,2450,1241
898,898,1387,1761,162,280
90,90,1649,2564,2196,2471
897,897,2567,1194,1290,456
425,1576,425,2620,2306,2544
1753,1753,2068,81,1401,2258
67,1898,1575,67,1051,1066
1134,1134,1805,1112,1880,2132
516,516,1742,422,889,1033
1486,1486,2118,2272,13,1581
2351,2351,1647,1003,2065,683
2310,2310,2485,331,642,1973
175,175,1776,926,2561,2415
1547,1547,1806,2630,1877,452
1426,1426,1845,1894,778,1784
1598,1598,2118,1964,339,481
1289,238,1998,1289,1696,2592
1879,1879,551,2380,2255,2435
1599,1599,2249,1009,0,1370
1880,1880,1805,1134,1112,1407
607,607,2282,786,1389,183
610,610,552,10,369,1175
1228,1228,1813,12,2259,24
1229,1229,2612,141,356,371
611,611,906,1073,1161,1337
1076,1076,1582,896,1218,1455
1276,868,1276,1762,319,1199
1629,1629,1392,698,2214,1339
2726,2726,2538,322,715,440
282,282,1423,325,2162,2686
1643,1643,2139,727,1900,2567
1597,1597,1869,2087,1082,1808
1868,1868,1841,2064,1760,92
1596,1596,825,603,2540,2431
638,1750,257,638,1828,2
354,354,1718,1924,1206,779
2378,2378,714,446,1274,621
805,1543,805,363,815,2285
1691,1691,146,208,71,2232
1544,1544,110,1082,1768,595
2317,2317,2036,966,405,2697
1659,1659,1130,1306,2225,222
1087,1087,2509,844,1967,1376
2275,1713,2275,953,274,1607
2276,1042,1208,1633,2274,188
2277,2277,2212,640,2097,1324
668,668,169,1509,1177,343
2051,1704,2051,2586,2033,1308
2405,2405,944,2167,2657,1059
570,1909,570,1047,1813,1320
810,810,1799,266,199,2142
205,567,205,1336,1081,229
2595,2595,27,2437,1184,2630
1543,1543,805,363,815,2285
2571,2571,52,1892,2022,2208
1825,915,1825,96,241,487
841,1772,841,1587,2382,397
2580,2580,2161,2203,2564,2212
783,783,1184,2437,1175,10
601,601,1428,1217,1518,1831
2443,2443,366,834,1350,1039
881,881,2376,2373,1707,2252
2524,313,1635,2524,703,1301
651,651,2222,590,2086,2635
2115,2115,2710,949,1770,1214
2354,2083,28,2354,1902,1614
1406,1461,1406,1952,403,790
1166,1166,683,1730,1792,2660
981,967,981,75,130,88
778,1894,778,2609,2645,1025
1118,1324,1118,429,2093,301
1117,1117,2146,1020,577,1152
1834,1834,639,2520,964,1434
2679,2679,643,977,2644,2321
1309,1309,982,2332,188,2276
1310,1310,1975,2687,2589,200
1307,923,1307,2730,416,1302
1308,1050,1308,2066,1916,1368
2687,2687,1975,200,2589,14
2488,2488,1211,1921,553,444
2526,2526,991,1008,2691,2195
1135,1135,2724,2278,2318,2509
2557,2557,414,2142,2135,2185
413,492,1321,2144,1915,2584
1077,1077,2272,1439,2305,1581
313,313,1635,2524,703,1301
2648,2596,2361,2648,1395,1824
1626,1626,199,1806,266,936
852,852,1845,1046,140,1889
1648,1342,2207,489,1480,1648
1983,1983,48,1239,2436,325
961,961,595,312,280,112
1967,1376,1967,2404,2463,1087
775,2263,775,404,984,2639
2532,2532,672,2551,1441,249
1151,877,1151,464,1369,1527
2400,3,2324,519,1040,2400
2531,492,1321,2144,1915,2584
2398,2398,2647,1683,616,873
2530,848,2530,946,1265,2706
2529,1342,2207,489,1480,1648
2528,2528,1490,867,422,1431
885,885,2332,2274,1042,2276
1662,1662,308,1408,1499,500
285,285,1671,572,1679,502
286,286,1735,108,2683,316
251,2057,251,2054,2121,2445
250,250,1186,1464,2292,2540
249,249,174,1225,1777,429
118,688,93,1935,243,118
2064,2064,92,37,277,1868
781,781,2231,1225,900,301
2640,2640,1375,1602,1068,2413
563,563,2035,2023,1407,2103
581,238,1998,1289,1696,2592
1173,492,1321,2144,1915,2584
1489,1489,494,835,1718,537
115,2092,115,1673,442,1227
1853,1853,1935,93,1250,243
1462,1462,1380,2370,1330,589
